LDA_1,eyeDetection
-1.125137414029057,0
-0.8984746704645542,0
-0.8366855731346026,0
-1.0082457755101708,0
-0.9378348384487718,0
-0.8124262044777133,0
-0.9257425823171184,0
-0.9483215544100356,0
-0.7495814554479884,0
-0.7277936096622674,0
-0.8016997047790266,0
-0.7084596112291294,0
-0.6577015321446131,0
-0.7886032071626805,0
-0.8359169817433776,0
-0.7371624585310552,0
-0.734018917080284,0
-0.8492220411339206,0
-0.7652150698393592,0
-0.6102798489845558,0
-0.7675237801916479,0
-0.7893503189340572,0
-0.473395392924976,0
-0.4957964023426863,0
-0.8788397455366455,0
-0.9882589141449072,0
-0.6471407877753353,0
-0.4267365453045689,0
-0.5438603100823775,0
-0.6548607248805116,0
-0.5391635820820405,0
-0.427482483042328,0
-0.5701439366705261,0
-0.7023649435643379,0
-0.7577613688625123,0
-0.6536741337353827,0
-0.3577593539496835,0
-0.3214094672156004,0
-0.5771246683681606,0
-0.6888878506730857,0
-0.6817876225408018,0
-0.7112792101476163,0
-0.5884729642437994,0
-0.5054117206791163,0
-0.647032309093957,0
-0.5705538731946739,0
-0.4235179459388759,0
-0.6147122383505887,0
-0.7238711978719574,0
-0.5037916458298034,0
-0.4036811823099519,0
-0.4282115771969947,0
-0.4697097864484044,0
-0.6367245032851379,0
-0.6392149001312044,0
-0.4604590616062982,0
-0.4051835277263137,0
-0.4507796063678607,0
-0.4069235520705629,0
-0.4265988002210197,0
-0.5051855271721942,0
-0.4934867670172916,0
-0.4112957759281213,0
-0.3353902109710004,0
-0.3612153432847504,0
-0.4518189043217078,0
-0.5169096478204279,0
-0.5228484907176796,0
-0.5112344092453069,0
-0.3178160670929065,0
-0.1039400576757039,0
-0.2118099006524056,0
-0.3637334590869413,0
-0.2455211830481891,0
-0.1343993207055913,0
-0.3068737850643964,0
-0.2896852497282563,0
0.0517038543761258,0
0.0116422923065106,0
-0.2973418106259929,0
-0.2269351327789013,0
-0.1042145007220597,0
-0.2718264188071644,0
-0.3217279745321552,0
-0.2197294866094371,0
-0.1642418686622516,0
-0.1013750519615189,0
-0.1643231254174816,0
-0.2803199068455991,0
-0.282777389606165,0
-0.341101338977133,0
-0.453711303287468,0
